conn_rate,packets_per_conn,bytes_per_conn,port_entropy,ip_entropy,diff_dest_ports,inter_arrival_time_std,duration_std,mean_duration,syn_ratio,rst_ratio,success_rate,valid_payload_ratio,suspicious_history_ratio,label,tool
408.26666666666665,1.0020819725669496,0.0037557152188112345,9.137213651777603,0.0004533901333330035,9826,0.1444633917107281,0.00017144920562851913,1.6479833442194644e-06,0.9989386022207707,0.0010205747877204442,4.082299150881777e-05,4.082299150881777e-05,0.9989386022207707,1,nmap_sS
249.2,1.0018726591760299,0.0,8.919405904114916,0.0,7486,0.0033050001003790907,1.9538340208662235e-05,5.436730872124131e-07,0.9990636704119851,0.0009363295880149813,0.0,0.0,0.9990636704119851,1,nmap_sS
28.966666666666665,1.0264672036823936,0.0,6.737017297998813,0.0,863,0.29991647244894815,0.022859218814822897,0.0011025874568469504,0.9838895281933256,0.010356731875719217,0.0,0.0,0.9838895281933256,1,nmap_sO
33.81666666666667,1.0251355347461804,0.045342533267619514,6.887259158452287,0.004245959523174178,1002,0.38092798778555464,0.020921000096165286,0.0009478432725480533,0.9847215377033022,0.009857072449482503,0.0004928536224741252,0.0004928536224741252,0.9847215377033022,1,nmap_sO
0.03333333333333333,8.0,37.0,0.0,0.6931471805599453,1,0.0,0.979455321921578,28.9737935,0.0,0.0,1.0,0.0,0.0,1,nmap_sO
14.316666666666666,2.5238649592549476,35.88591385331781,6.721055441428426,0.09290066140881026,848,1.089530406274958,18.594696707780216,0.8928634016298022,0.9941792782305006,0.0011641443538998836,0.004656577415599534,0.0,0.9848661233993015,1,masscan_20
20.116666666666667,2.0,0.13256006628003314,7.095893221097533,0.0189707157892344,1207,3.3773921346119415,0.0014834924255233582,6.198094449047225e-05,0.9991714995857498,0.0,0.0008285004142502071,0.0008285004142502071,0.9975144987572494,1,masscan_20
20.033333333333335,2.007487520798669,0.7803660565723793,7.090588791999381,0.04595297676068942,1201,3.6002772226446815,0.22403250906867675,0.007137290349417638,0.997504159733777,0.0016638935108153079,0.0008319467554076539,0.0008319467554076539,0.9925124792013311,1,masscan_20
20.0,2.0,0.4525,7.0889215904751595,0.03254471554440409,1199,1.7006672229044846,0.0016633537283015135,6.997e-05,0.9991666666666666,0.0,0.0008333333333333334,0.0008333333333333334,0.9958333333333333,1,masscan_20
20.25,2.004938271604938,3.5160493827160493,7.08240705512357,0.08996515486288079,1205,3.162586149348081,3.2266693395607677,0.1774336683127572,0.9958847736625515,0.0,0.00411522633744856,0.0024691358024691358,0.9876543209876543,1,masscan_20
20.033333333333335,2.0,0.07986688851913477,7.090588791999381,0.006731552434537054,1201,1.2054869325762265,0.0012672095570994708,5.2003327787021637e-05,0.9991680532445923,0.0,0.0008319467554076539,0.0008319467554076539,0.9991680532445923,1,masscan_20
19.916666666666668,2.010878661087866,4.625941422594142,7.081261148512489,0.027060170556270156,1192,1.7329817809408525,5.2196062889618915,0.15122375313807535,0.998326359832636,0.0,0.0016736401673640166,0.0008368200836820083,0.9966527196652719,1,masscan_20
20.15,2.0049627791563274,0.696443341604632,7.095255559694826,0.0390273661824862,1207,1.7188428289006694,0.22360552213601198,0.006876543424317618,0.9991728701406121,0.0008271298593879239,0.0,0.0,0.9942100909842845,1,masscan_20
11.85,2.0014064697609,4.727144866385372,6.538859460469871,0.11439376415530585,703,1.8512041076976242,2.8691882049910498,0.16908370745428974,0.9957805907172996,0.0,0.004219409282700422,0.0014064697609001407,0.9831223628691983,1,masscan_20
17.5,2.0095238095238095,0.18285714285714286,6.956545443151569,0.007577208668030232,1050,1.676173246201671,4.801917837900804,0.148205740952381,1.0,0.0,0.0,0.0,0.9990476190476191,1,masscan_20
20.033333333333335,2.0,1.035773710482529,7.089000154308129,0.026922051157446725,1200,1.838795681072301,0.0017865257865040411,6.373627287853577e-05,0.9991680532445923,0.0,0.0008319467554076539,0.0008319467554076539,0.9966722129783694,1,masscan_20
20.133333333333333,2.0,0.9511589403973509,7.093993036718267,0.020104665465513427,1206,1.5577166894274486,4.087779458429847e-05,1.1030629139072849e-05,1.0,0.0,0.0,0.0,0.9975165562913907,1,masscan_20
20.083333333333332,2.0199170124481327,7.956016597510374,7.072345345509168,0.08461729317679242,1195,2.419341893268758,6.937151800706704,0.2939472829875519,0.9950207468879668,0.0008298755186721991,0.004149377593360996,0.0008298755186721991,0.9875518672199171,1,masscan_20
20.1,2.0,0.05306799336650083,7.095064377287131,0.012273777032475213,1206,1.5619726408462984,4.194848988408093e-05,9.124378109452737e-06,1.0,0.0,0.0,0.0,0.9983416252072969,1,masscan_20
19.966666666666665,2.0025041736227047,0.7729549248747913,7.087251604751253,0.03259207089247827,1197,1.9596666982734514,0.005099234373554651,0.00020194323873121871,0.998330550918197,0.0008347245409015025,0.0008347245409015025,0.0008347245409015025,0.994991652754591,1,masscan_20
20.133333333333333,2.005794701986755,2.816225165562914,7.080351327835799,0.06593496458156295,1200,2.7949848718240107,1.9337032719194092,0.10063596605960265,0.9966887417218543,0.0016556291390728477,0.0016556291390728477,0.0,0.9892384105960265,1,masscan_20
20.116666666666667,2.0,0.05302402651201325,7.095893221097533,0.01226498273758939,1207,1.6513370105995764,3.531476134826988e-05,8.105219552609777e-06,1.0,0.0,0.0,0.0,0.9983429991714996,1,masscan_20
9.3,2.0,0.0,6.324358962381312,0.0,558,0.1555689562143691,3.401960200330934e-05,8.885304659498208e-06,1.0,0.0,0.0,0.0,1.0,1,masscan_20
0.11666666666666667,4.428571428571429,180.71428571428572,1.277034259466139,1.945910149055313,4,3.243202493845699,28.39047249351652,18.090186000000003,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,1,masscan_20
0.05,5.0,1211.3333333333333,0.0,1.0986122886681096,1,7.276977306547e-05,17.35590600196567,50.09784,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1,masscan_20
0.13333333333333333,1.0,0.0,0.0,1.3862943611198906,1,0.00010469815794622815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,masscan_20
